iter	Passed	Remaining
399	54133	81200
400	54277	81078
401	54401	80925
402	54540	80795
403	54683	80671
404	54820	80538
405	54939	80378
406	55066	80232
407	55183	80070
408	55326	79946
409	55475	79830
410	55620	79709
411	55749	79564
412	55878	79420
413	56001	79268
414	56137	79133
415	56261	78983
416	56389	78837
417	56517	78691
418	56647	78548
419	56773	78401
420	56901	78256
421	57056	78148
422	57195	78019
423	57336	77890
424	57467	77749
425	57599	77610
426	57735	77476
427	57859	77326
428	57988	77183
429	58116	77038
430	58241	76889
431	58363	76737
432	58495	76597
433	58639	76474
434	58777	76342
435	58907	76200
436	59059	76088
437	59210	75972
438	59340	75831
439	59463	75680
440	59597	75544
441	59725	75399
442	59881	75290
443	60006	75143
444	60136	75001
445	60264	74858
446	60406	74730
447	60531	74583
448	60664	74445
449	60794	74303
450	60918	74155
451	61059	74027
452	61179	73874
453	61305	73728
454	61425	73575
455	61570	73452
456	61702	73314
457	61822	73161
458	61948	73015
459	62075	72870
460	62193	72715
461	62325	72577
462	62455	72437
463	62607	72322
464	62748	72194
465	62877	72053
466	63009	71914
467	63128	71761
468	63260	71623
469	63413	71508
470	63535	71359
471	63658	71210
472	63787	71069
473	63911	70922
474	64038	70779
475	64153	70623
476	64281	70480
477	64395	70323
478	64532	70190
479	64677	70066
480	64800	69919
481	64927	69776
482	65053	69632
483	65190	69501
484	65333	69374
485	65464	69236
486	65605	69108
487	65734	68967
488	65856	68819
489	65972	68664
490	66101	68524
491	66229	68383
492	66362	68246
493	66496	68111
494	66624	67970
495	66747	67823
496	66882	67690
497	67008	67547
498	67135	67405
499	67262	67262
500	67403	67134
501	67535	66996
502	67674	66867
503	67803	66726
504	67970	66624
505	68097	66482
506	68225	66341
507	68373	66219
508	68500	66078
509	68620	65929
510	68760	65799
511	68894	65664
512	69019	65520
513	69147	65380
514	69281	65245
515	69403	65099
516	69526	64954
517	69654	64813
518	69772	64663
519	69889	64513
520	70005	64361
521	70142	64230
522	70278	64097
523	70401	63952
524	70530	63812
525	70664	63678
526	70804	63549
527	70937	63414
528	71085	63291
529	71212	63150
530	71350	63019
531	71477	62878
532	71606	62739
533	71743	62607
534	71873	62469
535	72005	62332
536	72141	62200
537	72285	62073
538	72426	61945
539	72557	61807
540	72686	61669
541	72816	61531
542	72972	61415
543	73103	61277
544	73229	61136
545	73359	60998
546	73504	60872
547	73623	60725
548	73747	60583
549	73875	60443
550	73992	60295
551	74125	60159
552	74250	60018
553	74392	59890
554	74523	59753
555	74662	59622
556	74802	59493
557	74937	59358
558	75061	59216
559	75191	59078
560	75319	58939
561	75451	58804
562	75584	58668
563	75715	58532
564	75857	58403
565	75993	58270
566	76114	58126
567	76242	57987
568	76369	57847
569	76495	57707
570	76618	57564
571	76759	57435
572	76895	57302
573	77016	57158
574	77144	57020
575	77271	56880
576	77415	56753
577	77549	56618
578	77681	56483
579	77830	56360
580	77970	56229
581	78092	56086
582	78207	55939
583	78345	55807
584	78500	55688
585	78623	55546
586	78744	55403
587	78873	55264
588	79005	55129
589	79169	55016
590	79300	54879
591	79419	54735
592	79546	54596
593	79678	54460
594	79839	54344
595	79968	54206
596	80092	54066
597	80218	53926
598	80338	53782
599	80477	53651
600	80608	53515
601	80741	53380
602	80864	53239
603	80986	53097
604	81120	52963
605	81243	52821
606	81377	52687
607	81505	52549
608	81633	52411
609	81769	52278
610	81885	52133
611	82010	51993
612	82132	51851
613	82251	51708
614	82375	51568
615	82505	51432
616	82642	51299
617	82765	51159
618	82888	51018
619	83004	50873
620	83136	50738
621	83258	50597
622	83400	50468
623	83525	50329
624	83670	50202
625	83800	50066
626	83929	49929
627	84053	49789
628	84174	49647
629	84288	49502
630	84412	49363
631	84532	49221
632	84655	49081
633	84778	48941
634	84912	48807
635	85033	48666
636	85148	48522
637	85268	48381
638	85389	48240
639	85513	48101
640	85662	47976
641	85788	47838
642	85918	47702
643	86040	47562
644	86165	47424
645	86297	47289
646	86418	47149
647	86539	47008
648	86660	46868
649	86805	46741
650	86921	46598
651	87048	46461
652	87190	46332
653	87309	46191
654	87450	46061
655	87579	45926
656	87714	45793
657	87849	45660
658	87976	45523
659	88117	45393
660	88248	45259
661	88373	45121
662	88510	44989
663	88628	44848
664	88765	44716
665	88892	44579
666	89019	44443
667	89149	44307
668	89277	44171
669	89401	44033
670	89527	43896
671	89649	43757
672	89795	43630
673	89924	43494
674	90054	43359
675	90187	43225
676	90355	43109
677	90483	42973
678	90620	42841
679	90751	42706
680	90876	42569
681	91040	42449
682	91197	42327
683	91347	42201
684	91514	42083
685	91644	41948
686	91766	41809
687	91909	41679
688	92036	41543
689	92170	41410
690	92299	41274
691	92460	41153
692	92583	41014
693	92708	40877
694	92835	40740
695	92966	40606
696	93100	40472
697	93239	40341
698	93372	40207
699	93500	40071
700	93625	39934
701	93748	39796
702	93885	39664
703	94007	39525
704	94128	39387
705	94261	39253
706	94386	39116
707	94510	38978
708	94642	38844
709	94774	38710
710	94901	38574
711	95019	38435
712	95146	38298
713	95272	38162
714	95401	38027
715	95520	37888
716	95642	37750
717	95761	37611
718	95890	37475
719	96007	37336
720	96149	37206
721	96293	37076
722	96416	36939
723	96539	36802
724	96677	36670
725	96793	36530
726	96913	36392
727	97037	36255
728	97167	36121
729	97302	35988
730	97434	35854
731	97567	35721
732	97703	35589
733	97824	35451
734	97945	35313
735	98084	35182
736	98208	35045
737	98334	34910
738	98454	34772
739	98579	34635
740	98714	34503
741	98839	34367
742	98963	34230
743	99093	34096
744	99212	33958
745	99329	33819
746	99443	33680
747	99562	33542
748	99689	33407
749	99822	33274
750	99958	33141
751	100077	33004
752	100210	32871
753	100326	32732
754	100446	32595
755	100578	32461
756	100706	32327
757	100832	32191
758	100952	32054
759	101085	31921
760	101220	31789
761	101343	31653
762	101456	31513
763	101570	31375
764	101690	31238
765	101843	31111
766	101970	30976
767	102087	30838
768	102208	30702
769	102337	30568
770	102466	30434
771	102596	30300
772	102744	30172
773	102879	30039
774	103011	29906
775	103146	29774
776	103280	29641
777	103433	29514
778	103568	29382
779	103710	29251
780	103840	29117
781	103972	28984
782	104105	28851
783	104235	28718
784	104382	28588
785	104535	28461
786	104662	28326
787	104789	28192
788	104918	28057
789	105053	27925
790	105185	27792
791	105316	27658
792	105456	27527
793	105588	27394
794	105715	27260
795	105846	27126
796	105972	26991
797	106101	26857
798	106227	26723
799	106357	26589
800	106473	26452
801	106608	26319
802	106747	26188
803	106872	26053
804	107003	25920
805	107138	25787
806	107277	25656
807	107416	25524
808	107550	25391
809	107684	25259
810	107814	25125
811	107967	24997
812	108096	24863
813	108231	24731
814	108397	24605
815	108542	24475
816	108660	24338
817	108824	24212
818	108956	24079
819	109079	23944
820	109217	23812
821	109344	23678
822	109471	23543
823	109599	23409
824	109744	23279
825	109876	23145
826	109993	23009
827	110121	22875
828	110246	22740
829	110366	22605
830	110518	22475
831	110694	22351
832	110816	22216
833	110940	22081
834	111066	21947
835	111182	21811
836	111298	21674
837	111430	21541
838	111552	21406
839	111674	21271
840	111812	21139
841	111930	21003
842	112063	20870
843	112188	20736
844	112314	20602
845	112441	20468
846	112565	20333
847	112689	20199
848	112810	20064
849	112928	19928
850	113050	19793
851	113168	19658
852	113309	19526
853	113430	19392
854	113566	19259
855	113704	19127
856	113825	18992
857	113949	18858
858	114074	18724
859	114196	18590
860	114325	18456
861	114455	18323
862	114581	18189
863	114706	18055
864	114821	17920
865	114941	17785
866	115066	17651
867	115197	17518
868	115327	17385
869	115446	17250
870	115625	17124
871	115750	16990
872	115900	16860
873	116019	16725
874	116149	16592
875	116285	16460
876	116403	16325
877	116524	16191
878	116648	16057
879	116766	15922
880	116941	15795
881	117106	15667
882	117236	15534
883	117381	15402
884	117497	15267
885	117622	15134
886	117750	15000
887	117908	14871
888	118048	14739
889	118173	14605
890	118298	14471
891	118423	14338
892	118560	14205
893	118677	14071
894	118802	13937
895	118924	13803
896	119063	13671
897	119195	13538
898	119332	13406
899	119457	13273
900	119594	13140
901	119725	13007
902	119857	12875
903	119992	12742
904	120110	12608
905	120242	12475
906	120381	12343
907	120506	12209
908	120632	12076
909	120758	11943
910	120902	11811
911	121028	11678
912	121165	11545
913	121294	11412
914	121417	11279
915	121553	11146
916	121689	11014
917	121828	10882
918	121960	10749
919	122093	10616
920	122223	10483
921	122356	10351
922	122491	10218
923	122626	10086
924	122778	9955
925	122899	9821
926	123028	9688
927	123158	9555
928	123280	9421
929	123417	9289
930	123543	9156
931	123667	9022
932	123797	8890
933	123942	8758
934	124081	8625
935	124208	8492
936	124340	8360
937	124475	8227
938	124602	8094
939	124732	7961
940	124865	7828
941	124993	7696
942	125125	7563
943	125261	7430
944	125387	7297
945	125526	7165
946	125665	7033
947	125784	6899
948	125933	6767
949	126063	6634
950	126197	6502
951	126313	6368
952	126439	6235
953	126562	6102
954	126689	5969
955	126817	5836
956	126940	5703
957	127063	5570
958	127220	5439
959	127351	5306
960	127467	5172
961	127593	5040
962	127720	4907
