iter	Logloss
0	0.6200217145
1	0.5813591276
2	0.543007162
3	0.5214880908
4	0.4897818127
5	0.4717476678
6	0.4599740261
7	0.446191907
8	0.4305455768
9	0.4240446989
10	0.4188554041
11	0.4146956329
12	0.410027992
13	0.4043380597
14	0.3945080101
15	0.3896908078
16	0.3788756342
17	0.3746533754
18	0.3637870074
19	0.361691222
20	0.352549868
21	0.344194046
22	0.3410471084
23	0.3344376882
24	0.3281861656
25	0.3260999354
26	0.3242096698
27	0.3213289912
28	0.3178116369
29	0.3148733074
30	0.3093448997
31	0.3073611121
32	0.3031456085
33	0.2991486582
34	0.296171892
35	0.292948276
36	0.2909246144
37	0.2890349917
38	0.2875906598
39	0.2857897442
40	0.2829361364
41	0.280788551
42	0.2795147193
43	0.2770513077
44	0.2758029061
45	0.2745582794
46	0.2727950424
47	0.2717329277
48	0.2702960698
49	0.2693149176
50	0.2669711178
51	0.2650479231
52	0.2633840165
53	0.2601535581
54	0.2580770211
55	0.2569735672
56	0.25507525
57	0.2536081925
58	0.2525613493
59	0.2513303678
60	0.2505012182
61	0.248856588
62	0.2479461865
63	0.2464157527
64	0.2452474756
65	0.2440639801
66	0.2435391953
67	0.2425153266
68	0.2417008188
69	0.2408525856
70	0.239335292
71	0.2385401353
72	0.2376326739
73	0.237216305
74	0.2364866941
75	0.2358239576
76	0.2353279972
77	0.2347143696
78	0.2342669871
79	0.2330474576
80	0.2319026031
81	0.2309919102
82	0.2304765459
83	0.2296954638
84	0.2289687059
85	0.2281053994
86	0.2269421883
87	0.2265058066
88	0.2257521086
89	0.2252086914
90	0.2242580892
91	0.2234547223
92	0.223071607
93	0.2222687566
94	0.2216234018
95	0.2212279344
96	0.2209489966
97	0.2180548739
98	0.2177034255
99	0.2172926462
100	0.2167747701
101	0.2160670843
102	0.2156470692
103	0.215121544
104	0.2145504617
105	0.2141098459
106	0.2132749666
107	0.212143495
108	0.2115714763
109	0.2107351721
110	0.2104295846
111	0.2100133857
112	0.2094778946
113	0.2090785372
114	0.2088179197
115	0.2085405271
116	0.2071156168
117	0.2068033891
118	0.2064972333
119	0.2061588485
120	0.2057226213
121	0.205332
122	0.2050060326
123	0.2045983146
124	0.2043351263
125	0.2039491622
126	0.2034680947
127	0.2031693423
128	0.2029080611
129	0.2025678521
130	0.2022733069
131	0.2019638844
132	0.2016759451
133	0.201471339
134	0.2007967886
135	0.2002342017
136	0.1997991693
137	0.1996054841
138	0.1992778461
139	0.1990150871
140	0.1987924137
141	0.1985277123
142	0.1973286727
143	0.1970655165
144	0.1967950222
145	0.196599514
146	0.1963733022
147	0.1960411645
148	0.1957620545
149	0.1954513181
150	0.1950732832
151	0.1922460359
152	0.1918494816
153	0.1916015533
154	0.1913961818
155	0.1910794658
156	0.1909195424
157	0.1907507659
158	0.1905169837
159	0.1902935668
160	0.1900626593
161	0.189771275
162	0.188407581
163	0.1882887481
164	0.186160827
165	0.1859760852
166	0.1857638994
167	0.1855105452
168	0.1852953001
169	0.1847791756
170	0.1843824616
171	0.1840024875
172	0.183773483
173	0.1834110296
174	0.1832016603
175	0.1830134632
176	0.1825482447
177	0.1823813006
178	0.1822225169
179	0.1820459812
180	0.1819016953
181	0.1812744586
182	0.1810828506
183	0.1808486796
184	0.1806872006
185	0.1804876407
186	0.1802741368
187	0.1801049101
188	0.1799056457
189	0.1796515813
190	0.179519971
191	0.1794085809
192	0.1792138494
193	0.1790246059
194	0.1787920371
195	0.1781974079
196	0.1780423555
197	0.1774277789
198	0.1771249177
199	0.1768550436
200	0.1767710997
201	0.1765930303
202	0.1744870684
203	0.1743373733
204	0.1742119843
205	0.1740740139
206	0.1738710545
207	0.1737482052
208	0.1735341174
209	0.1734278907
210	0.1724645091
211	0.1720017837
212	0.1717980901
213	0.1714194983
214	0.1711782039
215	0.1701439762
216	0.1698407988
217	0.1696742342
218	0.1694666631
219	0.169309072
220	0.1691425531
221	0.1689864792
222	0.1688463538
223	0.1687003993
224	0.1685673279
225	0.168383002
226	0.1682872421
227	0.1681409277
228	0.167986147
229	0.1678541334
230	0.1677068255
231	0.1675170469
232	0.1672986979
233	0.1670382183
234	0.166822435
235	0.1667274446
236	0.1665972623
237	0.1664369024
238	0.1656700806
239	0.1655184815
240	0.1642047716
241	0.1630213123
242	0.1628738655
243	0.1627147697
244	0.162541733
245	0.1624679821
246	0.1622868451
247	0.1621085703
248	0.161986899
249	0.1617430307
250	0.1616331049
251	0.1615385583
252	0.1614230377
253	0.161341564
254	0.1611771709
255	0.1610139467
256	0.1603103893
257	0.1601788963
258	0.1600272526
259	0.1598683247
260	0.1597639906
261	0.1596284894
262	0.159525491
263	0.1580198921
264	0.1578835519
265	0.1577899293
266	0.1576815321
267	0.15751414
268	0.1572564324
269	0.1571455878
270	0.1570646741
271	0.1561878622
272	0.1559374471
273	0.1558547103
274	0.1556491044
275	0.1555025329
276	0.1553913626
277	0.1553107621
278	0.1552131366
279	0.1550692561
280	0.1549393497
281	0.1548134686
282	0.1546680793
283	0.1545607517
284	0.1544438456
285	0.1542569448
286	0.1541350272
287	0.1540137287
288	0.153776205
289	0.1536347823
290	0.1534475968
291	0.1533111612
292	0.1531943588
293	0.1530687701
294	0.1530002143
295	0.1528794737
296	0.1527161945
297	0.1526354317
298	0.1525412683
299	0.1524388403
300	0.1523043512
301	0.152158573
302	0.1520484844
303	0.1518269164
304	0.1517155512
305	0.1515182333
306	0.1514361773
307	0.151348146
308	0.151221009
309	0.1511128285
310	0.1510069819
311	0.1507927504
312	0.1506200534
313	0.1504456203
314	0.1503173877
315	0.1502074458
316	0.150132691
317	0.150040483
318	0.1499301818
319	0.1498270625
320	0.149667176
321	0.1495369553
322	0.1494632003
323	0.1493248488
324	0.1492199469
325	0.14914905
326	0.1490237304
327	0.148919389
328	0.1487862294
329	0.1486793344
330	0.1485235353
331	0.1483825176
332	0.1482832369
333	0.1481984043
334	0.1480752765
335	0.14794541
336	0.147866265
337	0.1477601046
338	0.1476863776
339	0.147572132
340	0.1474287011
341	0.1473120403
342	0.1471912349
343	0.1470750573
344	0.1469492929
345	0.1468546472
346	0.1467029361
347	0.1466139854
348	0.1465452107
349	0.1464182625
350	0.146333071
351	0.1462226972
352	0.1461514446
353	0.1460707061
354	0.1459786515
355	0.1459142438
356	0.1457999381
357	0.1457096423
358	0.145576028
359	0.1454729135
360	0.1453634828
361	0.145297057
362	0.1452063568
363	0.1450758246
364	0.1449502152
365	0.1448200822
366	0.1437373466
367	0.1436443136
368	0.1435602406
369	0.1434843513
370	0.1434223615
371	0.1433233541
372	0.1431793673
373	0.1431119574
374	0.1430299284
375	0.1422811791
376	0.1421756835
377	0.1420576517
378	0.1419981538
379	0.1418505639
380	0.141763023
381	0.1416778108
382	0.1415756856
383	0.1414519278
384	0.1413494391
385	0.1412580492
386	0.1411536456
387	0.1410849518
388	0.1410163618
389	0.1408862309
390	0.1407754796
391	0.1406343867
392	0.1405013837
393	0.1403875477
394	0.1400315908
395	0.1399310388
396	0.1398116682
397	0.1396845706
398	0.1395517408
399	0.1394539322
400	0.1386294046
401	0.1375571649
402	0.1365743125
403	0.136502434
404	0.1364110654
405	0.1363716938
406	0.1363084382
407	0.1362669838
408	0.1361527382
409	0.1360315247
410	0.135895391
411	0.1357844385
412	0.1357123168
413	0.1356366256
414	0.1355108295
415	0.1354606214
416	0.1353604733
417	0.1352896162
418	0.1352026473
419	0.1351394747
420	0.1344654303
421	0.1340449936
422	0.1339802738
423	0.1338640983
424	0.1337812547
425	0.1336913944
426	0.1336127695
427	0.1335546504
428	0.133480535
429	0.1334015709
430	0.1333421518
431	0.1332703708
432	0.1331688916
433	0.1328914835
434	0.1328300225
435	0.1327567533
436	0.132677193
437	0.1325823939
438	0.1324847279
439	0.1324203591
440	0.1323009008
441	0.1322494338
442	0.1321498285
443	0.1320435116
444	0.1319818831
445	0.1317342135
446	0.1315801696
447	0.1315033564
448	0.1314282651
449	0.1313287625
450	0.1312566564
451	0.131190829
452	0.1311498007
453	0.1310891564
454	0.1309720372
455	0.130841353
456	0.1307602117
457	0.1307103547
458	0.1305464822
459	0.1304780404
460	0.1304151639
461	0.1303320548
462	0.1302724584
463	0.1301948715
464	0.1301319286
465	0.1300468772
466	0.1299527143
467	0.1298847584
468	0.1298068614
469	0.1296515793
470	0.1295759099
471	0.1295203242
472	0.12942009
473	0.1293627295
474	0.1292893628
475	0.1292532994
476	0.1291847363
477	0.129121378
478	0.1290517426
479	0.1289813497
480	0.1287861287
481	0.1287150663
482	0.1286208262
483	0.128541914
484	0.128354351
485	0.1280427237
486	0.1279453865
487	0.1278415201
488	0.1277953497
489	0.1277138278
490	0.1276575929
491	0.1275702574
492	0.1274929977
493	0.1270388522
494	0.126972011
495	0.126898607
496	0.1268170027
497	0.1267241091
498	0.1266581231
499	0.1265890746
500	0.1264836998
501	0.126357408
502	0.1262523796
503	0.1261508657
504	0.1258233164
505	0.1257468007
506	0.1256539943
507	0.1255271047
508	0.1254765694
509	0.1254246237
510	0.1253263148
511	0.1252440555
512	0.1251828626
513	0.1250855498
514	0.1249934605
515	0.1249110259
516	0.1248152982
